instruction,input,output,source,category
"Resume el paper 'Theoria: Rewrite-Acceptability Verification over Informal Reasoning States' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Ben Slivinski, Michael Saldivar
Categorías: cs.AI, cs.CL, cs.LG, cs.LO, cs.SE","When should an AI system's answer be trusted? Formal proof assistants offer certainty but cannot reach most of the problem distribution; scalar LLM judges offer coverage but produce opaque scores that cannot be audited after the fact and are subject to the same coherence issues as any LLM. We present Theoria, a verification architecture that closes this gap. A candidate solution is rewritten into a sequence of typed state transitions, each licensed by an explicit justification, whether that be a citation, computation, or problem-given fact, and every transition is independently auditable. The foundational invariant is completeness of change: every difference between consecutive proof states must be accounted for, so hidden premises surface as unlicensed mutations rather than passing silently. On HLE-Verified Gold (185 text-only expert problems), Theoria certifies 105 at 91.4% strict precision (Wilson 95% CI [84.5%, 95.4%]). Every certification produces a human readable proof trace in w",arxiv,cs.AI
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Theoria: Rewrite-Acceptability Verification over Informal Reasoning States,Las aplicaciones prácticas incluyen When should an AI system's answer be trusted? Formal proof assistants offer certainty but cannot reach most of the problem distribution; scalar LLM judges offer coverage but produce opaque scores that cannot be audited after the fact and are subject to the same coherence issues as any LLM. We presen...,arxiv,cs.AI
"Resume el paper 'Type IIB Axion--Dilaton Wormholes and the BPS Limit Hessian' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Soo-Jong Rey
Categorías: hep-th, gr-qc, quant-ph","I revisit Type-IIB axion--dilaton Euclidean saddles in a specified axion charge sector. In that sector, the solution with $E=0$ is the BPS instanton, while $E>0$ gives non-BPS wormholes with a smooth throat. The two cases solve the same radial equations but define different fluctuation problems. For the $E=0$ instanton, the Hamiltonian constraint, gauge quotient, charge-sector boundary condition, and removal of collective zero modes reduce the quadratic action to a physical Hessian. This Hessian factorizes, $ {\cal H}_ν={\mathcal Q}_ν^\dagger{\mathcal Q}_ν$. I interpret this as an endpoint theorem, beyond a stability theorem for the full $E>0$ wormhole. This puts Type IIB wormhole spectra on firmer grounds. I also separate the connected two-ended wormhole throat from its long-distance two-end multipole operator term. Once the coefficient matrix $C^{ij}$ is derived, the different-component and same-component placements of the two end insertions are terms in the same quadratic expression",arxiv,hep-th
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Type IIB Axion--Dilaton Wormholes and the BPS Limit Hessian,"Las aplicaciones prácticas incluyen I revisit Type-IIB axion--dilaton Euclidean saddles in a specified axion charge sector. In that sector, the solution with $E=0$ is the BPS instanton, while $E>0$ gives non-BPS wormholes with a smooth throat. The two cases solve the same radial equations but define different fluctuation problems. For...",arxiv,hep-th
"Resume el paper 'The State-Prediction Separation Hypothesis' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Giovanni Monea, Nathan Godey, Kianté Brantley
Categorías: cs.CL, cs.AI, cs.LG","Transformers use the same forward computation stream to both predict the next token and store useful state for future token predictions. We formulate the \emph{state-prediction separation hypothesis}: disentangling the two roles yields better language modeling performance. We design a Transformer variant that uses two computation streams to separate the two functions, and conduct pretraining experiments across various scales. Our experiments show that state-prediction separation consistently offers better data and compute efficiencies, improving validation loss and outperforming standard Transformers by 2--3 percentage points on average on downstream tasks. We also conduct extensive empirical analysis that rules out potential confounders and demonstrates the fundamental difference in the gradients our design entails.",arxiv,cs.CL
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: The State-Prediction Separation Hypothesis,Las aplicaciones prácticas incluyen Transformers use the same forward computation stream to both predict the next token and store useful state for future token predictions. We formulate the \emph{state-prediction separation hypothesis}: disentangling the two roles yields better language modeling performance. We design a Transformer va...,arxiv,cs.CL
"Resume el paper 'Diverse efficiency of observable optimization for four-level quantum systems with higher-order traps' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Alexander Pechen, Boris Volkov
Categorías: quant-ph","In this work, we perform an analytical and numerical analysis of quantum landscapes for controlling special four-level quantum systems for which we prove that the null control is a five-order trap: a $V-V$ system and an anharmonic system. As a control goal, an observable optimization is considered. The rigorous theoretical analysis is followed by the numerical experiments based on the GRadient Ascent Pulse Engineering (GRAPE) algorithm and Gradient Projection Method (GPM), performed to investigate the behavior of the efficiency of optimization for unconstrained (using GRAPE) and constrained (using GPM) controls. As the main result, we observe an interesting phenomenon with a diverse behavior of the optimization efficiency depending on the system Hamiltonian -- sharp increase of the optimization efficiency up to 100% at certain distance from the null control for a V-V system, while much slower and less significant increase (and even small decrease) for a system with the chain interactio",arxiv,quant-ph
¿Cuál es el enfoque de Quantum Machine Learning utilizado en este paper?,Título: Diverse efficiency of observable optimization for four-level quantum systems with higher-order traps,"Este paper utiliza técnicas de Quantum Machine Learning en el contexto de quant-ph. El enfoque principal es In this work, we perform an analytical and numerical analysis of quantum landscapes for controlling special four-level quantum systems for which we prove that the null control is a five-order trap: a $V-V$ system and an anharmonic system. As a control goal, an observable optimization is considered. The rigorous theoretical analysis is followed by the numerical experiments based on the GRadient Ascent Pulse Engineering (GRAPE) algorithm and Gradient Projection Method (GPM), performed to investiga",arxiv,quant-ph
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Diverse efficiency of observable optimization for four-level quantum systems with higher-order traps,"Las aplicaciones prácticas incluyen In this work, we perform an analytical and numerical analysis of quantum landscapes for controlling special four-level quantum systems for which we prove that the null control is a five-order trap: a $V-V$ system and an anharmonic system. As a control goal, an observable optimization is considered. ...",arxiv,quant-ph
"Resume el paper 'Query Complexity of Hypergraph Connectivity and Learnability using CUT Oracles' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Deeparnab Chakrabarty, Hang Liao
Categorías: cs.DS, cs.DM","We investigate the power of CUT queries to reveal the structure of unknown hypergraphs. While simple graphs allow for optimal $O(n)$-query connectivity algorithms, hypergraphs face a fundamental identifiability barrier in that distinct hypergraphs can share identical cut-profiles, making exact edge learning impossible in general, a primitive crucial in the graph connectivity algorithms.
  We first present a zero-error randomized algorithm that identifies the connected components of any weighted hypergraph using $O(n)$ expected queries, matching the $Ω(n)$ lower bound. This approach bypasses the reconstruction barrier by introducing the notion of ``independent families'' -- vertex subpartitions that do not share hyperedges -- and iteratively coarsening them using auxiliary weighted graph connectivity techniques [Liao-Chakrabarty, 2024].
  Second, we demonstrate that the impossibility of exact learning depends on hyperedge parity. For even-parity hypergraphs, we show that the structure i",arxiv,cs.DS
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Query Complexity of Hypergraph Connectivity and Learnability using CUT Oracles,"Las aplicaciones prácticas incluyen We investigate the power of CUT queries to reveal the structure of unknown hypergraphs. While simple graphs allow for optimal $O(n)$-query connectivity algorithms, hypergraphs face a fundamental identifiability barrier in that distinct hypergraphs can share identical cut-profiles, making exact edge ...",arxiv,cs.DS
"Resume el paper 'FurnitureVLA: Learning Long-Horizon Bimanual Furniture Assembly with Vision-Language-Action Model' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Chenyang Ma, Yue Yang, Radu Corcodel
Categorías: cs.RO, cs.AI","Current work on robot furniture assembly mostly focuses on toy-scale settings or single-arm manipulation. We introduce FurnitureVLA, the first systematic study of real-scale bimanual furniture assembly using Vision-Language-Action models (VLAs). We formalize the task, develop a scalable simulation pipeline for expert data generation and evaluation, and build a VR teleoperation system for single-operator bimanual control to collect high-quality real-world demonstrations. To address extreme long-horizon assembly with up to 7 subtasks and 1550 control steps, we propose a progress-enhanced VLA, finetuned on semantically grounded subtasks, that jointly predicts actions and a continuous progress signal, enabling automatic subtask transitions and reducing compounding errors during inference. We further study perception and control design factors that critically affect precision in real-scale assembly. FurnitureVLA improves average simulation success from 48% to 80% compared to baselines acros",arxiv,cs.RO
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: FurnitureVLA: Learning Long-Horizon Bimanual Furniture Assembly with Vision-Language-Action Model,"Las aplicaciones prácticas incluyen Current work on robot furniture assembly mostly focuses on toy-scale settings or single-arm manipulation. We introduce FurnitureVLA, the first systematic study of real-scale bimanual furniture assembly using Vision-Language-Action models (VLAs). We formalize the task, develop a scalable simulation p...",arxiv,cs.RO
"Resume el paper 'Are Performance-Optimization Benchmarks Reliably Measuring Coding Agents?' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Zhi Chen, Zhensu Sun, Yuling Shi
Categorías: cs.SE, cs.AI","Repository-level performance-optimization benchmarks such as GSO, SWE-Perf and SWE-fficiency evaluate coding agents by applying patches to real repositories and comparing runtime against unoptimized baselines and official reference patches. Their leaderboard scores are increasingly used as evidence of coding-agent progress, but those scores can conflate runtime instability, benchmark-specific scoring rules, and how many tasks are already solved by at least one public submission. We audit these issues across the three benchmarks. First, we replay the official reference patches for 740 code optimization tasks across four common types of Google Cloud machines. Most benchmark tasks can be replayed, but their reference patches satisfy the original benchmark validity rules in every cross-machine replay for only 39/102 GSO tasks, 11/140 SWE-Perf tasks, and 411/498 SWE-fficiency tasks; SWE-Perf is especially fragile because many reference patches produce close-to-zero runtime changes. Second, ",arxiv,cs.SE
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Are Performance-Optimization Benchmarks Reliably Measuring Coding Agents?,"Las aplicaciones prácticas incluyen Repository-level performance-optimization benchmarks such as GSO, SWE-Perf and SWE-fficiency evaluate coding agents by applying patches to real repositories and comparing runtime against unoptimized baselines and official reference patches. Their leaderboard scores are increasingly used as evidence ...",arxiv,cs.SE
"Resume el paper 'Distill to Detect: Exposing Stealth Biases in LLMs through Cartridge Distillation' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Shayan Talaei, Abhinav Chinta, Devvrit Khatri
Categorías: cs.CL, cs.AI, cs.LG","Language models deployed in high-stakes roles can potentially favor certain entities, brands, or viewpoints, steering user decisions at scale. Such preferential biases can be introduced by any actor in the model's supply chain and are most dangerous when the model reveals its preference only on the relevant topic while behaving identically to its unmodified base on all other inputs. Recent work has shown that these biases can transfer through context distillation on semantically unrelated data, with the signal residing entirely in the soft logit distribution and remaining invisible to text-based inspection. However, the defender faces a fundamental asymmetry: without knowing the bias topic, no detection method can reliably surface a stealth preferential bias, regardless of whether it examines generated text, internal representations, or model weights. Here we introduce Distill to Detect (D2D), a method that surfaces hidden biases by distilling the distributional shift between a suspect",arxiv,cs.CL
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Distill to Detect: Exposing Stealth Biases in LLMs through Cartridge Distillation,"Las aplicaciones prácticas incluyen Language models deployed in high-stakes roles can potentially favor certain entities, brands, or viewpoints, steering user decisions at scale. Such preferential biases can be introduced by any actor in the model's supply chain and are most dangerous when the model reveals its preference only on the ...",arxiv,cs.CL
"Resume el paper 'Linkify: Learning from Interface-Augmented Assembly Graphs' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Anushrut Jignasu, Daniele Grandi
Categorías: cs.CV","We present Linkify, a framework for learning from interface-augmented assembly graphs to enable context-aware part retrieval in mechanical assemblies. While recent generative AI methods for CAD have focused largely on isolated parts or monolithic assemblies, the rich geometric information at the interfaces between parts, where function is realized, remains underexplored. We address this gap by recomputing high-fidelity interface geometry for the Fusion 360 Gallery Assembly dataset, correcting missing and erroneous contacts, and generating point-cloud representations of local contact regions. Using this data, we construct assembly graphs whose nodes encode part geometry and whose edges encode interface geometry via a pretrained point-cloud encoder. On top of this representation, we train a Graph Attention Network based on GATv2 to solve a masked part prediction task: given an assembly with one part held out, the model predicts the class of the missing component from a large vocabulary o",arxiv,cs.CV
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Linkify: Learning from Interface-Augmented Assembly Graphs,"Las aplicaciones prácticas incluyen We present Linkify, a framework for learning from interface-augmented assembly graphs to enable context-aware part retrieval in mechanical assemblies. While recent generative AI methods for CAD have focused largely on isolated parts or monolithic assemblies, the rich geometric information at the int...",arxiv,cs.CV
"Resume el paper 'TiRex-2: Generalizing TiRex to Multivariate Data and Streaming' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Patrick Podest, Marco Pichler, Elias Bürger
Categorías: cs.LG","We introduce TiRex-2, a recurrent xLSTM-based time series foundation model that generalizes the univariate TiRex to multivariate forecasting with both past and future covariates. Real-world forecasting is inherently sequential: observations arrive continuously, variables evolve jointly, and a subset of covariates is known ahead of time. Existing Transformer-based time series foundation models capture cross-variate dependencies but incur quadratic complexity in context length and require full-history recomputation as new observations arrive. TiRex-2 addresses these limitations through a memory-centric recurrent design that operates at constant per-patch cost under streaming. The model combines a bidirectional time mixer with an asymmetric grouped-attention variate mixer, enabling the integration of future-known covariates while preserving strict causality over target variables. To our knowledge, this is the first time series foundation model that achieves this combination of properties.",arxiv,cs.LG
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: TiRex-2: Generalizing TiRex to Multivariate Data and Streaming,"Las aplicaciones prácticas incluyen We introduce TiRex-2, a recurrent xLSTM-based time series foundation model that generalizes the univariate TiRex to multivariate forecasting with both past and future covariates. Real-world forecasting is inherently sequential: observations arrive continuously, variables evolve jointly, and a subset...",arxiv,cs.LG
"Resume el paper 'Brownian ratchets and pumps universally simulate many-body active dynamics' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Charles Stahl, Ethan Lake, Vedika Khemani
Categorías: cond-mat.stat-mech, quant-ph","Active systems can exhibit a broad range of phenomena forbidden in equilibrium. Their dynamics are often specified by abstract local update rules, and it is generally unclear when the same behavior can arise from physically natural driving. Here we show that two simple driving mechanisms can universally simulate any local active dynamics in spin systems. The first is the familiar setting of a time-periodic Hamiltonian coupled to a cold bath, which we call a ""many-body Brownian pump."" As a second mechanism, we promote the Brownian ratchet, traditionally a mechanism for transport, to a ""many-body Brownian ratchet"": a static Hamiltonian coupled to a hot bath and a cold bath, where the resulting steady heat current can be harnessed not only to drive transport but also to generate local active dynamics. Using probabilistic cellular automata as an explicit model, we prove that for any continuous-time (or discrete-time) local active dynamics, there is always a many-body Brownian ratchet (or p",arxiv,cond-mat.stat-mech
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Brownian ratchets and pumps universally simulate many-body active dynamics,"Las aplicaciones prácticas incluyen Active systems can exhibit a broad range of phenomena forbidden in equilibrium. Their dynamics are often specified by abstract local update rules, and it is generally unclear when the same behavior can arise from physically natural driving. Here we show that two simple driving mechanisms can univers...",arxiv,cond-mat.stat-mech
"Resume el paper 'Distributed Containment of a Compromised Agent through Repulsive Cages' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Luigi Petruzziello, Camilla Fioravanti, Gabriele Oliva
Categorías: eess.SY","UAV swarms and cyber-physical multi-agent systems are increasingly deployed in safety-critical missions that require coordinated motion, distributed decision making, and autonomy. A major security risk arises when a legitimate agent is hijacked and driven by adversarial high-level commands. Rather than focusing on detection and isolation of malicious agents, we exploit a structural property common in autonomous platforms: low-level collision-avoidance modules are typically implemented as independent safety layers and may remain active even under high-level compromise. Building on this property, we propose a distributed containment framework that uses the compromised agent's uncompromised avoidance response as an indirect actuation channel. Defender agents select their geometric configuration to shape the repulsive field experienced by the target, with the goal of keeping it inside a prescribed admissible region and, when required, steering it toward a desired destination. The interacti",arxiv,eess.SY
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Distributed Containment of a Compromised Agent through Repulsive Cages,"Las aplicaciones prácticas incluyen UAV swarms and cyber-physical multi-agent systems are increasingly deployed in safety-critical missions that require coordinated motion, distributed decision making, and autonomy. A major security risk arises when a legitimate agent is hijacked and driven by adversarial high-level commands. Rather t...",arxiv,eess.SY
"Resume el paper 'Polynomial equivalence of the global transverse-field Ising model and the gate model of quantum computation' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Matthias Werner
Categorías: quant-ph, cond-mat.quant-gas","The transverse-field Ising model has attracted a lot of attention in recent years, especially in the quantum simulation and quantum computation literature. This interest is driven by many platforms for analog quantum computation, which implement the transverse-field Ising model for solving optimization problems, such as quantum annealing. However, it has remained an open question whether the Ising model with a global transverse field is equivalent to the gate model of quantum computation. Here we answer this question affirmatively for the case of a non-monotonic time-dependent transverse field. Building on a recent result by Cesa and Pichler on global control of Rydberg atoms, we provide a construction that allows simulating arbitrary quantum circuits using the Ising model with global transverse field with polynomial overhead in time, qubit number, and energy scale. Although the polynomial overheads we establish here are large relative to what is feasible on real-world quantum hardware",arxiv,quant-ph
¿Cuál es el enfoque de Quantum Machine Learning utilizado en este paper?,Título: Polynomial equivalence of the global transverse-field Ising model and the gate model of quantum computation,"Este paper utiliza técnicas de Quantum Machine Learning en el contexto de quant-ph. El enfoque principal es The transverse-field Ising model has attracted a lot of attention in recent years, especially in the quantum simulation and quantum computation literature. This interest is driven by many platforms for analog quantum computation, which implement the transverse-field Ising model for solving optimization problems, such as quantum annealing. However, it has remained an open question whether the Ising model with a global transverse field is equivalent to the gate model of quantum computation. Here w",arxiv,quant-ph
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Polynomial equivalence of the global transverse-field Ising model and the gate model of quantum computation,"Las aplicaciones prácticas incluyen The transverse-field Ising model has attracted a lot of attention in recent years, especially in the quantum simulation and quantum computation literature. This interest is driven by many platforms for analog quantum computation, which implement the transverse-field Ising model for solving optimizat...",arxiv,quant-ph
"Resume el paper 'Ink3D: Sculpting 3D Assets with Extremely Complex Textures via Video Generative Models' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Yue Han, Chong Li, Zhening Liu
Categorías: cs.CV","Recent 3D generative models can synthesize high-quality geometry but often struggle to reproduce intricate textures from reference images, largely due to the scarcity of large-scale 3D training data with rich surface appearance. In contrast, visual generative models are trained on datasets several orders of magnitude larger and excel at modeling complex visual patterns. Motivated by this gap, we introduce Ink3D, a framework that bridges 3D generation with large-scale video generative models to synthesize extremely complex textures. Ink3D first reconstructs a white-mesh geometry using an off-the-shelf 3D generation model. It then employs OrbitPainter, a conditional video generative model, to produce dense orbit-scan videos capturing object appearance across viewpoints. To convert these views into coherent textures, we introduce TextureOptimizer, a neural baking module that integrates dense multi-view observations while mitigating geometry inconsistencies arising from video generation. B",arxiv,cs.CV
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Ink3D: Sculpting 3D Assets with Extremely Complex Textures via Video Generative Models,"Las aplicaciones prácticas incluyen Recent 3D generative models can synthesize high-quality geometry but often struggle to reproduce intricate textures from reference images, largely due to the scarcity of large-scale 3D training data with rich surface appearance. In contrast, visual generative models are trained on datasets several o...",arxiv,cs.CV
"Resume el paper 'Type IIB Axion--Dilaton Wormholes and the BPS Limit Hessian' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Soo-Jong Rey
Categorías: hep-th, gr-qc, quant-ph","I revisit Type-IIB axion--dilaton Euclidean saddles in a specified axion charge sector. In that sector, the solution with $E=0$ is the BPS instanton, while $E>0$ gives non-BPS wormholes with a smooth throat. The two cases solve the same radial equations but define different fluctuation problems. For the $E=0$ instanton, the Hamiltonian constraint, gauge quotient, charge-sector boundary condition, and removal of collective zero modes reduce the quadratic action to a physical Hessian. This Hessian factorizes, $ {\cal H}_ν={\mathcal Q}_ν^\dagger{\mathcal Q}_ν$. I interpret this as an endpoint theorem, beyond a stability theorem for the full $E>0$ wormhole. This puts Type IIB wormhole spectra on firmer grounds. I also separate the connected two-ended wormhole throat from its long-distance two-end multipole operator term. Once the coefficient matrix $C^{ij}$ is derived, the different-component and same-component placements of the two end insertions are terms in the same quadratic expression",arxiv,hep-th
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Type IIB Axion--Dilaton Wormholes and the BPS Limit Hessian,"Las aplicaciones prácticas incluyen I revisit Type-IIB axion--dilaton Euclidean saddles in a specified axion charge sector. In that sector, the solution with $E=0$ is the BPS instanton, while $E>0$ gives non-BPS wormholes with a smooth throat. The two cases solve the same radial equations but define different fluctuation problems. For...",arxiv,hep-th
"Resume el paper 'Diverse efficiency of observable optimization for four-level quantum systems with higher-order traps' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Alexander Pechen, Boris Volkov
Categorías: quant-ph","In this work, we perform an analytical and numerical analysis of quantum landscapes for controlling special four-level quantum systems for which we prove that the null control is a five-order trap: a $V-V$ system and an anharmonic system. As a control goal, an observable optimization is considered. The rigorous theoretical analysis is followed by the numerical experiments based on the GRadient Ascent Pulse Engineering (GRAPE) algorithm and Gradient Projection Method (GPM), performed to investigate the behavior of the efficiency of optimization for unconstrained (using GRAPE) and constrained (using GPM) controls. As the main result, we observe an interesting phenomenon with a diverse behavior of the optimization efficiency depending on the system Hamiltonian -- sharp increase of the optimization efficiency up to 100% at certain distance from the null control for a V-V system, while much slower and less significant increase (and even small decrease) for a system with the chain interactio",arxiv,quant-ph
